,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,columbus,39.96,-83.0,81.12,61,40,8.05,US,1661643959
132,chipiona,36.74,-6.44,74.3,100,100,2.3,ES,1661644068
133,kollegal,12.15,77.12,68.65,94,99,3.78,IN,1661644069
134,tilichiki,60.47,166.1,57.9,70,8,5.99,RU,1661644069
135,santiago de cao,-7.96,-79.24,60.93,82,100,10.36,PE,1661644070
136,erzin,36.96,36.2,74.26,64,0,1.79,TR,1661644070
137,opuwo,-18.06,13.84,61.61,42,0,5.14,NA,1661643847
138,terney,45.05,136.61,60.33,78,29,6.38,RU,1661644071
139,havre-saint-pierre,50.23,-63.6,59.0,88,0,13.8,CA,1661644071
140,carnarvon,-24.87,113.63,62.35,65,43,16.17,AU,1661644071
141,jibuti,11.5,42.5,84.31,49,11,6.02,DJ,1661644072
142,byron bay,-28.65,153.62,60.94,83,99,6.62,AU,1661644072
143,kawambwa,-9.79,29.08,66.09,30,45,7.76,ZM,1661644072
144,mogoytuy,51.28,114.92,59.88,58,25,5.28,RU,1661644073
145,stockach,47.85,9.02,63.79,88,93,2.53,DE,1661644073
146,barra do corda,-5.5,-45.25,78.94,34,72,3.06,BR,1661644073
147,esperance,-33.87,121.9,46.24,79,55,24.18,AU,1661644074
148,mar del plata,-38.0,-57.56,45.95,70,40,15.99,AR,1661643948
149,sampit,-2.53,112.95,75.33,96,94,2.21,ID,1661644074
150,sierra vista,31.55,-110.3,85.37,49,75,14.0,US,1661644075
151,coahuayana,18.73,-103.68,83.5,72,76,4.32,MX,1661644075
152,tiksi,71.69,128.87,53.04,65,64,15.73,RU,1661644075
153,lat yao,15.75,99.79,76.33,93,100,4.21,TH,1661644076
154,avarua,-21.21,-159.78,78.85,69,13,14.97,CK,1661644076
155,butaritari,3.07,172.79,81.32,78,80,15.19,KI,1661644076
156,pisco,-13.7,-76.22,60.85,77,100,5.75,PE,1661643882
157,kousseri,12.08,15.03,71.56,100,20,2.3,CM,1661644077
158,goma,-1.68,29.22,63.61,76,86,2.8,CD,1661644077
159,bambari,5.77,20.68,68.7,95,97,1.86,CF,1661644077
160,gat,31.61,34.76,81.39,100,0,6.44,IL,1661643949
161,ust-kuyga,70.02,135.6,58.89,62,100,10.54,RU,1661644078
162,san quintin,30.48,-115.95,72.52,75,2,14.23,MX,1661644078
163,chapais,49.78,-74.85,64.18,74,44,5.93,CA,1661644079
164,nouadhibou,20.93,-17.03,70.7,83,18,27.09,MR,1661644079
165,jurm,36.86,70.83,60.08,52,44,1.83,AF,1661644079
166,kiruna,67.86,20.23,47.32,66,14,5.75,SE,1661644080
167,nikolskoye,59.7,30.79,65.88,74,2,4.34,RU,1661644080
168,snasa,64.25,12.38,47.89,97,83,5.35,NO,1661644080
169,moron,-34.65,-58.62,53.35,36,83,13.87,AR,1661644081
170,baruun-urt,46.68,113.28,61.75,37,100,6.91,MN,1661644081
171,clyde river,70.47,-68.59,35.83,100,100,8.05,CA,1661644081
172,bambanglipuro,-7.95,110.28,76.06,78,100,8.88,ID,1661644082
173,yeppoon,-23.13,150.73,69.58,63,51,15.08,AU,1661644082
174,hithadhoo,-0.6,73.08,81.55,75,83,12.01,MV,1661644082
175,geraldton,-28.77,114.6,52.21,100,75,8.05,AU,1661644083
176,honiara,-9.43,159.95,86.07,62,74,9.4,SB,1661643930
177,alexandria,31.22,29.96,78.76,73,20,8.05,EG,1661644083
178,takoradi,4.88,-1.76,74.26,90,100,8.23,GH,1661644084
179,price,39.6,-110.81,81.12,46,75,5.75,US,1661644084
180,la troncal,-2.4,-79.33,76.32,80,69,2.15,EC,1661644085
181,linhares,-19.39,-40.07,67.05,92,7,2.33,BR,1661644086
182,nantucket,41.28,-70.1,71.74,87,40,9.22,US,1661644086
183,viana,-20.39,-40.5,73.17,91,62,4.47,BR,1661644087
184,necochea,-38.55,-58.74,44.26,52,26,22.62,AR,1661644087
185,zhangye,38.93,100.45,58.53,81,100,2.17,CN,1661644087
186,komsomolskiy,40.43,71.72,70.52,32,6,6.91,UZ,1661644088
187,khatanga,71.97,102.5,35.64,95,100,11.05,RU,1661644088
188,cockburn town,21.46,-71.14,84.16,74,75,9.22,TC,1661644088
189,kungurtug,50.6,97.52,48.56,84,100,1.9,RU,1661644089
190,itacare,-14.28,-39.0,69.46,89,23,5.19,BR,1661644089
191,severo-kurilsk,50.68,156.12,64.27,94,97,12.68,RU,1661644089
192,tura,25.52,90.22,73.4,95,97,6.96,IN,1661644090
193,zalantun,48.0,122.72,62.53,44,37,4.56,CN,1661644090
194,kavieng,-2.57,150.8,83.55,74,75,14.56,PG,1661644091
195,san jose,37.34,-121.89,89.85,49,0,13.8,US,1661643814
196,merrill,45.18,-89.68,66.97,88,0,8.05,US,1661644091
197,waling,27.98,83.77,72.73,99,100,2.1,NP,1661644091
198,monrovia,6.3,-10.8,74.43,93,100,15.43,LR,1661644092
199,akyab,20.15,92.9,77.74,87,66,7.2,MM,1661644092
200,passo de camaragibe,-9.24,-35.49,72.95,93,42,5.35,BR,1661644093
201,mangualde,40.6,-7.76,58.82,67,1,2.73,PT,1661644093
202,luanda,-8.84,13.23,69.8,88,75,6.91,AO,1661643800
203,kruisfontein,-34.0,24.73,45.88,84,0,5.66,ZA,1661644094
204,pilar,-9.6,-35.96,71.53,92,53,4.83,BR,1661643978
205,lakes entrance,-37.88,147.98,60.1,56,14,4.88,AU,1661644094
206,bima,-8.47,118.72,79.9,67,69,5.06,ID,1661644095
207,stornoway,58.21,-6.39,55.36,95,100,8.05,GB,1661644095
208,castro,-24.79,-50.01,60.44,70,0,2.19,BR,1661644095
209,pochutla,15.74,-96.47,83.82,87,96,2.17,MX,1661644096
210,comodoro rivadavia,-45.87,-67.5,40.86,30,0,8.05,AR,1661644096
211,bambous virieux,-20.34,57.76,72.21,94,75,14.97,MU,1661644097
212,kaeo,-35.1,173.78,64.33,80,12,7.87,NZ,1661644097
213,seeboden,46.82,13.49,65.53,95,100,3.47,AT,1661644098
214,victor harbor,-35.57,138.62,60.67,71,71,13.09,AU,1661644098
215,gravdal,68.12,13.5,51.6,88,93,29.89,NO,1661644098
216,soyo,-6.13,12.37,69.03,92,31,6.6,AO,1661644099
217,altay,47.87,88.12,53.78,60,0,3.06,CN,1661644099
218,sao joao da barra,-21.64,-41.05,71.91,85,11,22.12,BR,1661644100
219,newport news,36.98,-76.43,80.96,78,0,8.05,US,1661643958
220,lavrentiya,65.58,-171.0,45.88,74,74,9.28,RU,1661644100
221,ambon,-3.7,128.18,80.74,89,40,2.3,ID,1661644101
222,ostrovnoy,68.05,39.51,56.07,79,77,16.42,RU,1661644101
223,greytown,-29.06,30.59,50.05,83,60,1.59,ZA,1661644101
224,barra patuca,15.8,-84.28,81.3,81,53,9.33,HN,1661644102
225,ouallam,14.32,2.09,81.48,68,99,11.81,NE,1661644103
226,ribeira grande,38.52,-28.7,74.28,84,28,20.29,PT,1661644103
227,la ronge,55.1,-105.28,75.45,57,75,8.05,CA,1661644104
228,goure,13.98,10.27,79.63,69,81,5.06,NE,1661644104
229,saint-philippe,-21.36,55.77,67.59,86,46,10.38,RE,1661644104
230,hasaki,35.73,140.83,72.28,85,100,18.63,JP,1661644105
231,saint-joseph,-21.37,55.62,72.46,82,29,9.71,RE,1661644105
232,norman wells,65.28,-126.83,69.84,56,75,13.8,CA,1661644105
233,fergus,47.3,-109.27,80.98,25,79,17.09,US,1661644106
234,ixtapa,20.7,-105.2,84.22,76,57,1.99,MX,1661644106
235,manaus,-3.1,-60.02,86.5,70,20,6.91,BR,1661643908
236,sakakah,29.97,40.21,90.97,17,0,6.73,SA,1661644107
237,weihai,37.5,122.11,69.93,59,89,4.25,CN,1661644107
238,torbay,47.67,-52.73,68.77,87,75,16.11,CA,1661644107
239,eskisehir,39.78,30.52,67.87,94,0,8.05,TR,1661644108
240,turukhansk,65.82,87.98,41.02,95,100,5.77,RU,1661644108
241,saskylakh,71.92,114.08,43.81,92,93,9.57,RU,1661644108
242,moultonborough,43.75,-71.4,69.91,85,22,1.01,US,1661644109
243,palmeira,-25.43,-50.01,59.86,72,0,2.8,BR,1661644109
244,salalah,17.02,54.09,75.29,94,100,6.91,OM,1661644109
245,flin flon,54.77,-101.86,73.24,73,75,8.05,CA,1661644032
246,victoria point,-27.58,153.3,71.44,77,92,5.99,AU,1661644110
247,cheremukhovo,60.35,59.99,47.01,70,10,3.4,RU,1661644110
248,bayevo,53.28,80.77,44.13,81,2,5.91,RU,1661644111
249,aloja,57.77,24.88,64.38,63,0,4.99,LV,1661644111
250,mingaora,34.78,72.36,69.33,85,16,3.74,PK,1661644111
251,agirish,61.92,63.02,50.56,66,5,8.16,RU,1661644112
252,troy,42.61,-83.15,76.93,59,0,3.44,US,1661643852
253,haines junction,60.75,-137.51,58.95,58,100,3.44,CA,1661644112
